               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11128,            0.021949,                   0,          0.00064725,             0.19417,          0.00049634,          0.00014108,             0.10342,            0.017761,                   0,            0.070577,           0.0032692,           0.0032692
                   1,             0.11134,            0.020834,                   0,          0.00066343,             0.19903,          0.00057675,          0.00014932,             0.10237,             0.01734,                   0,            0.040049,           0.0060744,           0.0060744
                   2,             0.10725,            0.020605,                   0,           0.0035015,           0.0097087,          0.00036282,          8.7237e-05,                 nan,                 nan,                   0,           0.0089872,           0.0083462,           0.0083462
                   3,             0.10257,            0.020749,                   0,          0.00085761,             0.25728,          0.00065682,          0.00017073,             0.10089,            0.022652,                   0,              0.0076,              0.0076,              0.0076
                   4,            0.099574,            0.020132,                   0,            0.001343,             0.40291,           0.0020612,          0.00048182,            0.096849,            0.016003,                   0,              0.0076,              0.0076,              0.0076
                   5,            0.096532,            0.019333,                   0,           0.0016828,             0.50485,           0.0074215,           0.0018442,            0.092359,            0.016873,                   0,              0.0068,              0.0068,              0.0068
                   6,            0.087934,            0.019067,                   0,           0.0024434,             0.73301,            0.045367,            0.012217,            0.086995,            0.015611,                   0,               0.006,               0.006,               0.006
                   7,            0.082438,            0.018325,                   0,             0.15948,            0.035947,            0.064497,            0.017602,             0.08529,             0.01537,                   0,              0.0052,              0.0052,              0.0052
                   8,            0.075447,            0.017961,                   0,             0.29734,             0.13592,             0.11076,            0.038264,              0.0881,            0.013389,                   0,              0.0044,              0.0044,              0.0044
                   9,            0.073251,            0.016957,                   0,             0.24719,             0.15534,             0.12449,              0.0485,            0.076755,            0.013863,                   0,              0.0036,              0.0036,              0.0036
