               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11028,            0.021552,            0.038288,          7.6314e-05,            0.017898,          4.0165e-05,          8.0947e-06,             0.10388,             0.01767,            0.037261,            0.070577,           0.0032692,           0.0032692
                   1,             0.11264,            0.020468,            0.039875,          6.7918e-05,            0.019339,          3.5856e-05,          9.3391e-06,             0.10284,            0.017385,            0.037166,            0.040049,           0.0060744,           0.0060744
                   2,             0.10835,            0.020587,            0.038353,          0.00017574,            0.006006,          2.5639e-05,          5.6975e-06,                 nan,                 nan,            0.063496,           0.0089872,           0.0083462,           0.0083462
                   3,             0.10501,             0.02071,            0.037413,          0.00032822,             0.10769,          0.00021627,          5.4089e-05,              0.1058,            0.019886,            0.044756,              0.0076,              0.0076,              0.0076
                   4,            0.099771,            0.020259,            0.035918,          0.00044808,             0.13282,          0.00065282,          0.00020894,            0.095468,            0.016429,            0.034776,              0.0076,              0.0076,              0.0076
                   5,            0.095914,            0.019294,            0.034573,           0.0013901,             0.26724,           0.0035662,            0.001049,            0.093099,            0.016498,             0.03352,              0.0068,              0.0068,              0.0068
                   6,            0.086922,            0.019073,             0.03393,           0.0022012,             0.69505,            0.022663,           0.0068923,            0.085315,            0.014701,            0.032026,               0.006,               0.006,               0.006
                   7,            0.081979,            0.017732,            0.033604,           0.0016768,             0.55063,            0.010736,           0.0021885,            0.093805,            0.013667,            0.037826,              0.0052,              0.0052,              0.0052
                   8,            0.076307,            0.017317,            0.033635,             0.21798,            0.039009,            0.067805,            0.023897,            0.070477,             0.01573,            0.031808,              0.0044,              0.0044,              0.0044
                   9,            0.073964,            0.016171,            0.033051,             0.16865,             0.14706,            0.086615,            0.029985,            0.068398,            0.013872,             0.03172,              0.0036,              0.0036,              0.0036
