               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10974,            0.025079,            0.038957,           0.0013233,             0.42571,            0.001538,          0.00039699,            0.096608,            0.016178,            0.034192,            0.070577,           0.0032692,           0.0032692
                   1,            0.083191,            0.019894,            0.034411,           0.0022035,             0.65078,            0.025387,           0.0084094,            0.081759,            0.016189,            0.033256,            0.040049,           0.0060744,           0.0060744
                   2,            0.074392,            0.017257,            0.033712,             0.13656,            0.053051,            0.074259,            0.025015,            0.071259,            0.016949,            0.032491,           0.0089872,           0.0083462,           0.0083462
                   3,            0.068058,            0.016553,            0.033438,             0.14019,             0.21787,            0.092641,            0.037544,             0.07053,            0.014383,            0.032152,              0.0076,              0.0076,              0.0076
                   4,            0.063805,            0.016004,            0.033857,             0.14539,             0.18374,            0.079742,            0.031583,            0.063875,            0.015374,             0.03206,              0.0076,              0.0076,              0.0076
                   5,            0.060459,            0.014936,            0.033422,              0.1806,             0.27523,             0.13191,            0.065014,            0.056927,             0.01505,            0.032025,              0.0068,              0.0068,              0.0068
                   6,            0.056707,            0.014117,            0.033423,             0.22748,             0.29985,             0.15895,            0.069669,            0.054479,            0.014194,            0.032087,               0.006,               0.006,               0.006
                   7,            0.054605,            0.013355,            0.033545,             0.21744,             0.31727,              0.1916,            0.085254,             0.05183,            0.013426,            0.031421,              0.0052,              0.0052,              0.0052
                   8,            0.052429,            0.013114,            0.033291,             0.24188,             0.32925,             0.21212,            0.093183,            0.052878,            0.013177,            0.031923,              0.0044,              0.0044,              0.0044
                   9,            0.050366,            0.012971,            0.032674,             0.24027,              0.3964,             0.21912,            0.098462,            0.049449,            0.012509,            0.031482,              0.0036,              0.0036,              0.0036
