               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11192,            0.025358,                   0,          0.00092233,              0.2767,           0.0013499,          0.00033459,             0.10548,            0.015399,                   0,            0.070577,           0.0032692,           0.0032692
                   1,            0.087681,            0.019471,                   0,           0.0025405,             0.76214,             0.07024,            0.017312,            0.082182,            0.016179,                   0,            0.040049,           0.0060744,           0.0060744
                   2,            0.075032,            0.017469,                   0,             0.37319,             0.18932,             0.15899,            0.042537,            0.073564,            0.016646,                   0,           0.0089872,           0.0083462,           0.0083462
                   3,            0.066995,            0.016719,                   0,              0.3593,             0.32039,             0.25881,            0.087937,            0.067858,            0.015581,                   0,              0.0076,              0.0076,              0.0076
                   4,            0.063634,            0.015642,                   0,             0.31025,             0.34466,             0.23102,            0.080323,            0.064106,            0.014018,                   0,              0.0076,              0.0076,              0.0076
                   5,             0.05826,            0.014722,                   0,             0.37951,             0.39806,             0.30496,             0.12053,            0.056789,            0.013811,                   0,              0.0068,              0.0068,              0.0068
                   6,             0.05509,            0.013988,                   0,             0.54202,             0.45387,             0.43095,             0.17575,            0.055502,            0.013824,                   0,               0.006,               0.006,               0.006
                   7,             0.05367,            0.013161,                   0,             0.58735,             0.44175,             0.47514,              0.2155,            0.053277,            0.012977,                   0,              0.0052,              0.0052,              0.0052
                   8,            0.050604,            0.013079,                   0,             0.68532,             0.49515,             0.54878,             0.26881,            0.047844,            0.012634,                   0,              0.0044,              0.0044,              0.0044
                   9,            0.049185,            0.012943,                   0,             0.61869,             0.51456,             0.57773,             0.27647,            0.047692,            0.012332,                   0,              0.0036,              0.0036,              0.0036
