               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10518,            0.025604,            0.037887,           0.0011092,             0.28589,           0.0016503,          0.00039633,            0.092787,            0.017741,            0.034781,            0.070577,           0.0032692,           0.0032692
                   1,            0.079266,            0.021584,            0.034235,           0.0025936,             0.77462,            0.015613,           0.0035146,            0.077825,            0.016974,            0.032748,            0.040049,           0.0060744,           0.0060744
                   2,            0.065904,            0.019161,             0.03342,           0.0028368,             0.86084,             0.06935,            0.017793,            0.067444,            0.017293,            0.032415,           0.0089872,           0.0083462,           0.0083462
                   3,            0.060754,            0.017172,            0.032935,             0.10726,             0.21201,             0.10456,            0.042579,             0.05926,            0.016233,            0.032384,              0.0076,              0.0076,              0.0076
                   4,            0.058301,            0.015228,            0.033233,             0.17514,             0.20063,             0.14333,            0.062731,            0.059449,             0.01327,            0.031526,              0.0076,              0.0076,              0.0076
                   5,            0.055048,             0.01432,            0.032459,             0.22463,             0.34848,             0.20979,            0.095706,            0.050733,            0.013781,            0.030797,              0.0068,              0.0068,              0.0068
                   6,             0.05073,            0.013226,            0.031822,             0.28429,             0.43192,             0.26099,            0.098512,            0.052268,            0.013488,            0.029849,               0.006,               0.006,               0.006
                   7,            0.049568,            0.012613,            0.031208,             0.30469,             0.49647,             0.27618,             0.11232,            0.048711,            0.012825,            0.029203,              0.0052,              0.0052,              0.0052
                   8,            0.046031,             0.01248,            0.030479,             0.33233,             0.47634,             0.29224,             0.12554,            0.047383,            0.012717,            0.028298,              0.0044,              0.0044,              0.0044
                   9,            0.044995,             0.01226,             0.02875,             0.31765,             0.46949,             0.27623,             0.13804,            0.046014,            0.012929,            0.028426,              0.0036,              0.0036,              0.0036
