               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.6533,              5.5488,              2.1393,             0.17335,             0.21845,              0.1196,            0.055918,                   0,                   0,                   0,            0.070291,            0.003301,            0.003301
                   1,               2.256,              3.1611,              1.8089,             0.47108,             0.27184,             0.30882,             0.15926,                   0,                   0,                   0,            0.039761,           0.0061036,           0.0061036
                   2,              2.3299,              3.3885,              1.8656,             0.41138,             0.10194,             0.14215,            0.059748,                   0,                   0,                   0,           0.0086964,           0.0083728,           0.0083728
                   3,              2.3415,              2.7923,              1.8384,             0.48045,             0.32524,             0.31473,             0.14293,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   4,              2.3124,              2.7362,              1.8847,             0.47676,              0.3835,             0.37541,             0.17778,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   5,              2.3104,              2.3933,              1.8761,             0.59836,             0.43689,             0.48693,             0.24007,                   0,                   0,                   0,              0.0068,              0.0068,              0.0068
                   6,              2.2453,              2.1928,              1.8419,             0.52366,             0.37379,              0.3701,             0.17261,                   0,                   0,                   0,               0.006,               0.006,               0.006
                   7,              2.2743,              2.0719,              1.8353,             0.75009,             0.43204,             0.52588,             0.27293,                   0,                   0,                   0,              0.0052,              0.0052,              0.0052
                   8,              2.1567,              1.9543,              1.7709,             0.38371,             0.14563,             0.14445,            0.058816,                   0,                   0,                   0,              0.0044,              0.0044,              0.0044
                   9,              2.1239,              1.9456,              1.7508,             0.40478,              0.1699,             0.17914,            0.083028,                   0,                   0,                   0,              0.0036,              0.0036,              0.0036
